area,cases,date
Out of County,0,2021-03-06
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1293,2021-03-05
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6043,2021-03-05
CITY OF GOLETA,1674,2021-03-05
COMMUNITY OF ISLA VISTA,1234,2021-03-05
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1115,2021-03-05
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",959,2021-03-05
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3384,2021-03-05
FEDERAL PRISON IN LOMPOC,1088,2021-03-05
CITY OF SANTA MARIA,10861,2021-03-05
COMMUNITY OF ORCUTT,1702,2021-03-05
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1234,2021-03-05
Out of County,0,2021-03-05
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1292,2021-03-04
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6028,2021-03-04
CITY OF GOLETA,1668,2021-03-04
COMMUNITY OF ISLA VISTA,1229,2021-03-04
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1113,2021-03-04
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",956,2021-03-04
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3384,2021-03-04
FEDERAL PRISON IN LOMPOC,1088,2021-03-04
CITY OF SANTA MARIA,10850,2021-03-04
COMMUNITY OF ORCUTT,1700,2021-03-04
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1233,2021-03-04
Out of County,0,2021-03-04
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1291,2021-03-03
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6010,2021-03-03
CITY OF GOLETA,1662,2021-03-03
COMMUNITY OF ISLA VISTA,1228,2021-03-03
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1111,2021-03-03
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",956,2021-03-03
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3376,2021-03-03
FEDERAL PRISON IN LOMPOC,1088,2021-03-03
CITY OF SANTA MARIA,10818,2021-03-03
COMMUNITY OF ORCUTT,1697,2021-03-03
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1232,2021-03-03
Out of County,0,2021-03-03
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1282,2021-03-02
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5972,2021-03-02
CITY OF GOLETA,1650,2021-03-02
COMMUNITY OF ISLA VISTA,1226,2021-03-02
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1113,2021-03-02
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",948,2021-03-02
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3367,2021-03-02
FEDERAL PRISON IN LOMPOC,1086,2021-03-02
CITY OF SANTA MARIA,10790,2021-03-02
COMMUNITY OF ORCUTT,1700,2021-03-02
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1228,2021-03-02
Out of County,0,2021-03-02
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1280,2021-03-01
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5960,2021-03-01
CITY OF GOLETA,1647,2021-03-01
COMMUNITY OF ISLA VISTA,1224,2021-03-01
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1112,2021-03-01
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",945,2021-03-01
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3364,2021-03-01
FEDERAL PRISON IN LOMPOC,1086,2021-03-01
CITY OF SANTA MARIA,10782,2021-03-01
COMMUNITY OF ORCUTT,1697,2021-03-01
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1228,2021-03-01
Out of County,0,2021-03-01
