area,cases,date
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3740,2021-01-12
CITY OF GOLETA,1094,2021-01-12
COMMUNITY OF ISLA VISTA,749,2021-01-12
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,729,2021-01-12
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",608,2021-01-12
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2257,2021-01-12
FEDERAL PRISON IN LOMPOC,1057,2021-01-12
CITY OF SANTA MARIA,7938,2021-01-12
COMMUNITY OF ORCUTT,1211,2021-01-12
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",891,2021-01-12
Out of County,0,2021-01-12
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",749,2021-01-11
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3642,2021-01-11
CITY OF GOLETA,1070,2021-01-11
COMMUNITY OF ISLA VISTA,724,2021-01-11
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,710,2021-01-11
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",595,2021-01-11
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2212,2021-01-11
FEDERAL PRISON IN LOMPOC,1057,2021-01-11
CITY OF SANTA MARIA,7807,2021-01-11
COMMUNITY OF ORCUTT,1178,2021-01-11
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",877,2021-01-11
Out of County,0,2021-01-11
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",732,2021-01-10
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3525,2021-01-10
CITY OF GOLETA,1036,2021-01-10
COMMUNITY OF ISLA VISTA,716,2021-01-10
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,693,2021-01-10
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",579,2021-01-10
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2172,2021-01-10
FEDERAL PRISON IN LOMPOC,1057,2021-01-10
CITY OF SANTA MARIA,7677,2021-01-10
COMMUNITY OF ORCUTT,1147,2021-01-10
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",870,2021-01-10
Out of County,0,2021-01-10
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",669,2021-01-09
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3342,2021-01-09
CITY OF GOLETA,980,2021-01-09
COMMUNITY OF ISLA VISTA,706,2021-01-09
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,658,2021-01-09
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",536,2021-01-09
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2112,2021-01-09
FEDERAL PRISON IN LOMPOC,1057,2021-01-09
CITY OF SANTA MARIA,7477,2021-01-09
COMMUNITY OF ORCUTT,1102,2021-01-09
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",852,2021-01-09
Out of County,0,2021-01-09
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",661,2021-01-08
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3309,2021-01-08
CITY OF GOLETA,973,2021-01-08
COMMUNITY OF ISLA VISTA,702,2021-01-08
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,648,2021-01-08
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",519,2021-01-08
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2088,2021-01-08
FEDERAL PRISON IN LOMPOC,1057,2021-01-08
CITY OF SANTA MARIA,7345,2021-01-08
COMMUNITY OF ORCUTT,1074,2021-01-08
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",840,2021-01-08
Out of County,0,2021-01-08
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",631,2021-01-07
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3243,2021-01-07
CITY OF GOLETA,937,2021-01-07
COMMUNITY OF ISLA VISTA,699,2021-01-07
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,635,2021-01-07
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",503,2021-01-07
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2054,2021-01-07
FEDERAL PRISON IN LOMPOC,1057,2021-01-07
CITY OF SANTA MARIA,7273,2021-01-07
COMMUNITY OF ORCUTT,1063,2021-01-07
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",834,2021-01-07
Out of County,0,2021-01-07
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",611,2021-01-06
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3172,2021-01-06
CITY OF GOLETA,898,2021-01-06
COMMUNITY OF ISLA VISTA,692,2021-01-06
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,622,2021-01-06
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",481,2021-01-06
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1991,2021-01-06
FEDERAL PRISON IN LOMPOC,1057,2021-01-06
CITY OF SANTA MARIA,7113,2021-01-06
COMMUNITY OF ORCUTT,1026,2021-01-06
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",797,2021-01-06
Out of County,0,2021-01-06
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",589,2021-01-05
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3106,2021-01-05
CITY OF GOLETA,879,2021-01-05
COMMUNITY OF ISLA VISTA,681,2021-01-05
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,597,2021-01-05
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",466,2021-01-05
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1965,2021-01-05
FEDERAL PRISON IN LOMPOC,1057,2021-01-05
CITY OF SANTA MARIA,6965,2021-01-05
COMMUNITY OF ORCUTT,995,2021-01-05
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",775,2021-01-05
Out of County,0,2021-01-05
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",572,2021-01-04
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3028,2021-01-04
CITY OF GOLETA,852,2021-01-04
COMMUNITY OF ISLA VISTA,679,2021-01-04
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,585,2021-01-04
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",462,2021-01-04
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1930,2021-01-04
FEDERAL PRISON IN LOMPOC,1039,2021-01-04
CITY OF SANTA MARIA,6882,2021-01-04
COMMUNITY OF ORCUTT,972,2021-01-04
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",763,2021-01-04
Out of County,0,2021-01-04
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",546,2021-01-03
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2930,2021-01-03
CITY OF GOLETA,819,2021-01-03
COMMUNITY OF ISLA VISTA,672,2021-01-03
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,571,2021-01-03
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",449,2021-01-03
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1898,2021-01-03
FEDERAL PRISON IN LOMPOC,1039,2021-01-03
CITY OF SANTA MARIA,6732,2021-01-03
COMMUNITY OF ORCUTT,929,2021-01-03
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",745,2021-01-03
Out of County,0,2021-01-03
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",536,2021-01-02
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2875,2021-01-02
CITY OF GOLETA,802,2021-01-02
COMMUNITY OF ISLA VISTA,668,2021-01-02
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,560,2021-01-02
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",444,2021-01-02
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1872,2021-01-02
FEDERAL PRISON IN LOMPOC,1039,2021-01-02
CITY OF SANTA MARIA,6625,2021-01-02
COMMUNITY OF ORCUTT,903,2021-01-02
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",733,2021-01-02
Out of County,0,2021-01-02
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",524,2021-01-01
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2827,2021-01-01
CITY OF GOLETA,784,2021-01-01
COMMUNITY OF ISLA VISTA,667,2021-01-01
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,555,2021-01-01
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",436,2021-01-01
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1852,2021-01-01
FEDERAL PRISON IN LOMPOC,1039,2021-01-01
CITY OF SANTA MARIA,6563,2021-01-01
COMMUNITY OF ORCUTT,891,2021-01-01
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",718,2021-01-01
Out of County,0,2021-01-01
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",511,2020-12-31
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2760,2020-12-31
CITY OF GOLETA,766,2020-12-31
COMMUNITY OF ISLA VISTA,663,2020-12-31
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,543,2020-12-31
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",426,2020-12-31
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1831,2020-12-31
FEDERAL PRISON IN LOMPOC,1039,2020-12-31
CITY OF SANTA MARIA,6452,2020-12-31
COMMUNITY OF ORCUTT,867,2020-12-31
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",708,2020-12-31
Out of County,0,2020-12-31
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",488,2020-12-30
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2673,2020-12-30
CITY OF GOLETA,728,2020-12-30
COMMUNITY OF ISLA VISTA,658,2020-12-30
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,529,2020-12-30
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",421,2020-12-30
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1773,2020-12-30
FEDERAL PRISON IN LOMPOC,1039,2020-12-30
CITY OF SANTA MARIA,6359,2020-12-30
COMMUNITY OF ORCUTT,847,2020-12-30
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",694,2020-12-30
Out of County,0,2020-12-30
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",474,2020-12-29
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2607,2020-12-29
CITY OF GOLETA,706,2020-12-29
COMMUNITY OF ISLA VISTA,656,2020-12-29
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,518,2020-12-29
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",413,2020-12-29
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1754,2020-12-29
FEDERAL PRISON IN LOMPOC,1039,2020-12-29
CITY OF SANTA MARIA,6274,2020-12-29
COMMUNITY OF ORCUTT,838,2020-12-29
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",678,2020-12-29
Out of County,0,2020-12-29
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",458,2020-12-28
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2561,2020-12-28
CITY OF GOLETA,691,2020-12-28
COMMUNITY OF ISLA VISTA,651,2020-12-28
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,498,2020-12-28
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",404,2020-12-28
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1735,2020-12-28
FEDERAL PRISON IN LOMPOC,1038,2020-12-28
CITY OF SANTA MARIA,6199,2020-12-28
COMMUNITY OF ORCUTT,822,2020-12-28
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",664,2020-12-28
Out of County,0,2020-12-28
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",454,2020-12-27
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2499,2020-12-27
CITY OF GOLETA,677,2020-12-27
COMMUNITY OF ISLA VISTA,649,2020-12-27
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,486,2020-12-27
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",397,2020-12-27
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1721,2020-12-27
FEDERAL PRISON IN LOMPOC,1038,2020-12-27
CITY OF SANTA MARIA,6134,2020-12-27
COMMUNITY OF ORCUTT,809,2020-12-27
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",662,2020-12-27
Out of County,0,2020-12-27
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",453,2020-12-26
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2475,2020-12-26
CITY OF GOLETA,671,2020-12-26
COMMUNITY OF ISLA VISTA,649,2020-12-26
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,484,2020-12-26
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",386,2020-12-26
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1710,2020-12-26
FEDERAL PRISON IN LOMPOC,1038,2020-12-26
CITY OF SANTA MARIA,6048,2020-12-26
COMMUNITY OF ORCUTT,789,2020-12-26
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",654,2020-12-26
Out of County,0,2020-12-26
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",448,2020-12-25
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2447,2020-12-25
CITY OF GOLETA,654,2020-12-25
COMMUNITY OF ISLA VISTA,647,2020-12-25
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,476,2020-12-25
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",383,2020-12-25
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1697,2020-12-25
FEDERAL PRISON IN LOMPOC,1038,2020-12-25
CITY OF SANTA MARIA,5994,2020-12-25
COMMUNITY OF ORCUTT,783,2020-12-25
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",654,2020-12-25
Out of County,0,2020-12-25
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",440,2020-12-24
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2388,2020-12-24
CITY OF GOLETA,635,2020-12-24
COMMUNITY OF ISLA VISTA,640,2020-12-24
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,466,2020-12-24
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",378,2020-12-24
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1672,2020-12-24
FEDERAL PRISON IN LOMPOC,1038,2020-12-24
CITY OF SANTA MARIA,5898,2020-12-24
COMMUNITY OF ORCUTT,761,2020-12-24
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",647,2020-12-24
Out of County,0,2020-12-24
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",429,2020-12-23
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2352,2020-12-23
CITY OF GOLETA,616,2020-12-23
COMMUNITY OF ISLA VISTA,634,2020-12-23
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,459,2020-12-23
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",367,2020-12-23
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1654,2020-12-23
FEDERAL PRISON IN LOMPOC,1038,2020-12-23
CITY OF SANTA MARIA,5796,2020-12-23
COMMUNITY OF ORCUTT,752,2020-12-23
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",641,2020-12-23
Out of County,0,2020-12-23
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",425,2020-12-22
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2298,2020-12-22
CITY OF GOLETA,601,2020-12-22
COMMUNITY OF ISLA VISTA,628,2020-12-22
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,442,2020-12-22
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",360,2020-12-22
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1636,2020-12-22
FEDERAL PRISON IN LOMPOC,1038,2020-12-22
CITY OF SANTA MARIA,5751,2020-12-22
COMMUNITY OF ORCUTT,741,2020-12-22
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",636,2020-12-22
Out of County,0,2020-12-22
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",419,2020-12-21
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2242,2020-12-21
CITY OF GOLETA,585,2020-12-21
COMMUNITY OF ISLA VISTA,623,2020-12-21
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,431,2020-12-21
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",353,2020-12-21
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1611,2020-12-21
FEDERAL PRISON IN LOMPOC,1038,2020-12-21
CITY OF SANTA MARIA,5671,2020-12-21
COMMUNITY OF ORCUTT,714,2020-12-21
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",623,2020-12-21
Out of County,0,2020-12-21
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",417,2020-12-20
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2203,2020-12-20
CITY OF GOLETA,568,2020-12-20
COMMUNITY OF ISLA VISTA,623,2020-12-20
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,423,2020-12-20
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",343,2020-12-20
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1573,2020-12-20
FEDERAL PRISON IN LOMPOC,1038,2020-12-20
CITY OF SANTA MARIA,5619,2020-12-20
COMMUNITY OF ORCUTT,701,2020-12-20
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",619,2020-12-20
Out of County,0,2020-12-20
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",399,2020-12-19
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2152,2020-12-19
CITY OF GOLETA,550,2020-12-19
COMMUNITY OF ISLA VISTA,606,2020-12-19
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,402,2020-12-19
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",326,2020-12-19
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1543,2020-12-19
FEDERAL PRISON IN LOMPOC,1038,2020-12-19
CITY OF SANTA MARIA,5505,2020-12-19
COMMUNITY OF ORCUTT,680,2020-12-19
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",607,2020-12-19
Out of County,0,2020-12-19
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",398,2020-12-18
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2151,2020-12-18
CITY OF GOLETA,548,2020-12-18
COMMUNITY OF ISLA VISTA,605,2020-12-18
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,402,2020-12-18
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",326,2020-12-18
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1541,2020-12-18
FEDERAL PRISON IN LOMPOC,1038,2020-12-18
CITY OF SANTA MARIA,5499,2020-12-18
COMMUNITY OF ORCUTT,680,2020-12-18
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",606,2020-12-18
Out of County,0,2020-12-18
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",394,2020-12-17
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2100,2020-12-17
CITY OF GOLETA,528,2020-12-17
COMMUNITY OF ISLA VISTA,599,2020-12-17
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,392,2020-12-17
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",319,2020-12-17
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1512,2020-12-17
FEDERAL PRISON IN LOMPOC,1038,2020-12-17
CITY OF SANTA MARIA,5441,2020-12-17
COMMUNITY OF ORCUTT,674,2020-12-17
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",604,2020-12-17
Out of County,0,2020-12-17
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",383,2020-12-16
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2053,2020-12-16
CITY OF GOLETA,509,2020-12-16
COMMUNITY OF ISLA VISTA,591,2020-12-16
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,376,2020-12-16
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",313,2020-12-16
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1489,2020-12-16
FEDERAL PRISON IN LOMPOC,1038,2020-12-16
CITY OF SANTA MARIA,5376,2020-12-16
COMMUNITY OF ORCUTT,663,2020-12-16
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",593,2020-12-16
Out of County,0,2020-12-16
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",379,2020-12-15
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2023,2020-12-15
CITY OF GOLETA,504,2020-12-15
COMMUNITY OF ISLA VISTA,586,2020-12-15
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,374,2020-12-15
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",305,2020-12-15
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1454,2020-12-15
FEDERAL PRISON IN LOMPOC,1038,2020-12-15
CITY OF SANTA MARIA,5312,2020-12-15
COMMUNITY OF ORCUTT,648,2020-12-15
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",585,2020-12-15
Out of County,0,2020-12-15
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",374,2020-12-14
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1980,2020-12-14
CITY OF GOLETA,484,2020-12-14
COMMUNITY OF ISLA VISTA,583,2020-12-14
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,369,2020-12-14
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",300,2020-12-14
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1433,2020-12-14
FEDERAL PRISON IN LOMPOC,1038,2020-12-14
CITY OF SANTA MARIA,5240,2020-12-14
COMMUNITY OF ORCUTT,636,2020-12-14
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",573,2020-12-14
Out of County,0,2020-12-14
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",358,2020-12-13
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1912,2020-12-13
CITY OF GOLETA,465,2020-12-13
COMMUNITY OF ISLA VISTA,569,2020-12-13
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,362,2020-12-13
